      0	    0.1	        67.9425         64.8409	        71.2775
    0.1	    0.2	        76.7848         73.2744	        80.5589
    0.2	    0.3	        71.7218         68.4408	        75.2501
    0.3	    0.4	        65.9243         62.9177	        69.1556
    0.4	    0.5	        72.3295         68.9955	        75.9165
    0.5	    0.6	        68.7239         65.5379	        72.1533
    0.6	    0.7	        70.9232          67.568	        74.5405
    0.7	    0.8	        66.0925         63.0353	        69.3804
    0.8	    0.9	        67.4111         64.2233	        70.8452
    0.9	      1	        63.9877         60.9475	        67.2637
      1	    1.1	        63.4815         60.3889	        66.8215
    1.1	    1.2	        61.9773         58.9527	        65.2417
    1.2	    1.3	         58.304         55.4066	        61.4359
    1.3	    1.4	        56.4763         53.6296	        59.5556
    1.4	    1.5	        51.9233         49.2582	        54.8107
    1.5	    1.6	         52.242         49.4825	        55.2379
    1.6	    1.7	        43.5193         41.1911	        46.0489
    1.7	    1.8	        44.6648         42.1966	        47.3529
    1.8	    1.9	        38.4796          36.286	        40.8756
    1.9	      2	        30.8726         29.0861	        32.8253
      2	    2.1	        29.4708         27.6749	        31.4438
    2.1	    2.2	        22.9789         21.5346	        24.5692
    2.2	    2.3	        17.9652          16.787	        19.2676
    2.3	    2.4	        13.0933         12.1942	        14.0918
    2.4	    2.5	        9.35409         8.68216	        10.1036
    2.5	    2.6	        6.20477          5.7308	        6.73683
    2.6	    2.7	        2.99564         2.75569	        3.26642
    2.7	    2.8	         1.5354         1.40387	          1.685
    2.8	    2.9	       0.611944        0.556056	       0.676006
