      0	    0.1	        63.8279         60.7911	        67.1117
    0.1	    0.2	        62.0195         59.0655	        65.2137
    0.2	    0.3	        70.7794         67.3811	        74.4557
    0.3	    0.4	        58.4223         55.6481	        61.4202
    0.4	    0.5	        66.0399         62.8622	        69.4778
    0.5	    0.6	        63.1047         60.0612	        66.3969
    0.6	    0.7	        63.6802         60.6165	        66.9923
    0.7	    0.8	        62.8844         59.8269	        66.1923
    0.8	    0.9	         61.071         58.0848	        64.3026
    0.9	      1	        60.5304         57.5471	        63.7587
      1	    1.1	         59.076          56.137	        62.2599
    1.1	    1.2	        57.2234         54.3507	        60.3356
    1.2	    1.3	        56.7214          53.837	        59.8477
    1.3	    1.4	        54.3651         51.5527	        57.4172
    1.4	    1.5	        48.8807         46.3186	        51.6631
    1.5	    1.6	        49.0441         46.4291	        51.8877
    1.6	    1.7	        41.6354         39.3601	        44.1144
    1.7	    1.8	        44.2886         41.8158	        46.9856
    1.8	    1.9	        37.1905         35.0562	        39.5238
    1.9	      2	        32.4476         30.5238	        34.5563
      2	    2.1	        27.0718         25.4188	        28.8881
    2.1	    2.2	        22.1683          20.764	        23.7173
    2.2	    2.3	        17.2419         16.1113	        18.4918
    2.3	    2.4	         14.751         13.7277	        15.8887
    2.4	    2.5	        9.32574           8.649	        10.0814
    2.5	    2.6	        5.32708         4.92007	        5.78453
    2.6	    2.7	        3.21593         2.95701	        3.50829
    2.7	    2.8	        1.46293         1.33787	        1.60518
    2.8	    2.9	       0.648027        0.588738	       0.715997
