      0	      3	      0.0239419       0.0334097	      0.0151277
      3	      6	       0.115226         0.11324	       0.117034
      6	      9	      0.0524219        0.051439	      0.0533283
      9	     12	      0.0330393       0.0323677	      0.0336666
     12	     15	      0.0208938        0.020413	      0.0213529
     15	     18	      0.0168344       0.0164334	      0.0172201
     18	     21	      0.0116876       0.0113907	      0.0119744
     21	     24	     0.00924415      0.00899503	     0.00948797
     24	     27	     0.00704051      0.00683796	     0.00724015
     27	     30	     0.00545025      0.00529143	     0.00560732
     30	     36	     0.00448566      0.00434272	     0.00462882
     36	     42	     0.00321547      0.00310649	     0.00332535
     42	     48	     0.00240743      0.00231913	     0.00249755
     48	     54	     0.00176999      0.00170212	     0.00183964
     54	     60	     0.00128225      0.00122914	     0.00133735
     60	     80	    0.000802785     0.000766945	    0.000840266
     80	    100	    0.000367911     0.000349288	    0.000387712
    100	    180	    9.34691e-05     8.78075e-05	    9.96273e-05
    180	    350	    7.34191e-06     6.75515e-06	    8.00395e-06
