      0	    0.1	        65.5636         62.7692	        68.5978
    0.1	    0.2	        65.3104         62.5206	        68.3395
    0.2	    0.3	        65.3088         62.5236	        68.3327
    0.3	    0.4	        64.9241          62.147	        67.9393
    0.4	    0.5	        65.1501         62.3605	         68.179
    0.5	    0.6	        64.6326         61.8567	        67.6469
    0.6	    0.7	        63.8912         61.1349	        66.8849
    0.7	    0.8	        63.4048          60.655	        66.3918
    0.8	    0.9	        62.4689         59.7438	        65.4298
    0.9	      1	        61.3156         58.6223	        64.2425
      1	    1.1	        60.1867          57.523	        63.0829
    1.1	    1.2	         58.787         56.1608	        61.6437
    1.2	    1.3	        57.0542         54.4767	        59.8594
    1.3	    1.4	         54.383         51.8992	        57.0885
    1.4	    1.5	        51.9205         49.5082	        54.5505
    1.5	    1.6	        48.8301         46.5319	        51.3385
    1.6	    1.7	        45.2744         43.1024	        47.6484
    1.7	    1.8	        41.2931          39.268	        43.5103
    1.8	    1.9	        36.9348          35.089	        38.9593
    1.9	      2	        32.2791         30.6204	        34.1022
      2	    2.1	        27.4425          25.993	        29.0395
    2.1	    2.2	        22.5097         21.2859	         23.862
    2.2	    2.3	        17.4754         16.4907	        18.5666
    2.3	    2.4	        12.9797         12.2238	        13.8201
    2.4	    2.5	        8.86577         8.33087	        9.46261
    2.5	    2.6	        5.57396         5.22813	         5.9611
    2.6	    2.7	        3.02056         2.82619	        3.23907
    2.7	    2.8	        1.43639         1.34014	        1.54498
    2.8	    2.9	       0.505734        0.471163	       0.544859
