      0	    0.1	        102.399         97.3358	        107.739
    0.1	    0.2	       -211.374        -176.107	       -257.746
    0.2	    0.3	       -911.244        -782.872	       -1076.46
    0.3	    0.4	         130.95         123.859	        138.616
    0.4	    0.5	         125.85         119.413	        132.689
    0.5	    0.6	        99.8192         96.5609	        102.553
    0.6	    0.7	        97.2927         92.2998	        102.649
    0.7	    0.8	         96.135         91.2687	        101.377
    0.8	    0.9	        111.862         106.263	        117.775
    0.9	      1	        106.793         100.988	        113.115
      1	    1.1	        118.886         112.684	        125.553
    1.1	    1.2	        102.726         97.8207	        107.891
    1.2	    1.3	        111.557         104.828	        118.938
    1.3	    1.4	        112.702          106.72	        119.122
    1.4	    1.5	        99.6352         94.0203	        105.738
    1.5	    1.6	        119.251         112.302	        126.798
    1.6	    1.7	        97.9281         92.0161	        104.374
    1.7	    1.8	        87.5271         82.2394	        93.2873
    1.8	    1.9	        72.7636         68.1534	        77.8356
    1.9	      2	        80.0425         74.7861	        85.8263
      2	    2.1	        71.9852          67.585	        76.7705
    2.1	    2.2	        70.2015         65.5474	        75.3034
    2.2	    2.3	         41.168         38.1566	        44.5298
    2.3	    2.4	        36.3598         33.5612	        39.4819
    2.4	    2.5	       -6428.94        -5334.05	       -7841.25
    2.5	    2.6	        11.3196         10.4804	        12.2612
    2.6	    2.7	        3.24728         2.95013	        3.59134
    2.7	    2.8	        3.82294         3.49953	        4.18433
    2.8	    2.9	        2.05946         1.84798	        2.30439
