      0	    0.1	         72.518         69.5616	        75.7086
    0.1	    0.2	        72.5126         69.5521	        75.7072
    0.2	    0.3	        72.6671          69.687	        75.8842
    0.3	    0.4	        71.9827          69.029	        75.1711
    0.4	    0.5	        71.2221         68.2847	        74.3941
    0.5	    0.6	        70.7327         67.8001	        73.9004
    0.6	    0.7	        69.5383         66.6482	        72.6616
    0.7	    0.8	        68.6593         65.7812	        71.7709
    0.8	    0.9	        67.6232         64.7669	        70.7125
    0.9	      1	         65.847         63.0357	        68.8896
      1	    1.1	        64.2448         61.4765	        67.2432
    1.1	    1.2	        62.1603          59.452	        65.0961
    1.2	    1.3	        59.6845          57.045	        62.5487
    1.3	    1.4	        57.0658         54.5076	        59.8444
    1.4	    1.5	        54.1399         51.6728	        56.8231
    1.5	    1.6	        50.4974           48.16	        53.0429
    1.6	    1.7	        46.8499         44.6289	        49.2728
    1.7	    1.8	         42.497         40.4428	        44.7416
    1.8	    1.9	         37.874          35.999	         39.927
    1.9	      2	        32.9241         31.2513	        34.7597
      2	    2.1	        27.8167           26.36	        29.4196
    2.1	    2.2	        22.9219         21.6912	        24.2799
    2.2	    2.3	        17.9126         16.9134	        19.0185
    2.3	    2.4	        13.0938         12.3383	        13.9327
    2.4	    2.5	        8.88879         8.35648	        9.48213
    2.5	    2.6	        5.54506         5.20563	        5.92475
    2.6	    2.7	        3.06957         2.87282	        3.29066
    2.7	    2.8	         1.3948          1.3023	        1.49911
    2.8	    2.9	       0.501171        0.467072	       0.539733
